generator,threshold,N,metric,ranker,median_rank,rank_lo,rank_hi,metric_value,ci_lo,ci_hi
boltz2,0.23,50,gap_recovered,iptm,8.0,6.0,9.0,-0.058730424973984396,-0.16745852138146625,0.05627782282557882
boltz2,0.23,50,gap_recovered,ptm,10.0,9.0,10.0,-0.17731622857926596,-0.2679760660607428,-0.09303483117705004
boltz2,0.23,50,gap_recovered,ranking_score,6.0,3.0,8.0,0.03003117381633361,-0.09148378646221998,0.16079221215172876
boltz2,0.23,50,gap_recovered,complex_plddt,1.0,1.0,3.5,0.2642378985591005,0.11226574438444539,0.4351135180406451
boltz2,0.23,50,gap_recovered,pdockq2,6.0,3.0,7.5,0.030895874788627885,-0.10447793730085243,0.17494324769866545
boltz2,0.23,50,gap_recovered,ipsae,9.0,8.0,10.0,-0.1473899077128451,-0.23979582614090422,-0.05726872246696048
boltz2,0.23,50,gap_recovered,anticonf,6.0,3.0,8.0,0.030823637155286663,-0.0995594873057873,0.17342296526263892
boltz2,0.23,50,gap_recovered,pss,3.0,1.0,6.0,0.17462696175112524,0.04642076897857136,0.3177153440995682
boltz2,0.23,50,gap_recovered,deeprank_ab,2.0,1.0,5.0,0.2084403099418124,0.06614785992217903,0.36709155246462044
boltz2,0.23,50,gap_recovered,abag_rank,4.0,2.0,8.0,0.08895272917644577,-0.03193417933342611,0.22685499865660808
boltz2,0.23,50,ranked_success,iptm,8.0,6.0,9.0,0.27356583850931676,0.20496894409937888,0.3416149068322981
boltz2,0.23,50,ranked_success,ptm,10.0,9.0,10.0,0.24869006211180125,0.18633540372670807,0.3167701863354037
boltz2,0.23,50,ranked_success,ranking_score,6.0,3.0,8.0,0.2922801242236025,0.2236024844720497,0.36645962732919257
boltz2,0.23,50,ranked_success,complex_plddt,1.0,1.0,3.5,0.34164161490683226,0.2670807453416149,0.4161490683229814
boltz2,0.23,50,ranked_success,pdockq2,6.0,3.0,7.5,0.2924801242236025,0.2236024844720497,0.36645962732919257
boltz2,0.23,50,ranked_success,ipsae,9.0,8.0,10.0,0.25497018633540375,0.18633540372670807,0.32298136645962733
boltz2,0.23,50,ranked_success,anticonf,6.0,3.0,8.0,0.29247639751552795,0.2236024844720497,0.36645962732919257
boltz2,0.23,50,ranked_success,pss,3.0,1.0,6.0,0.3226303633540373,0.2539130434782608,0.3967701863354037
boltz2,0.23,50,ranked_success,deeprank_ab,2.0,1.0,5.0,0.329788198757764,0.2608695652173913,0.40372670807453415
boltz2,0.23,50,ranked_success,abag_rank,4.0,2.0,8.0,0.3045701863354037,0.2360248447204969,0.37888198757763975
boltz2,0.8,5,gap_recovered,iptm,7.0,5.0,9.0,0.1846800796256037,-0.11460336538461596,0.43780275433648086
boltz2,0.8,5,gap_recovered,ptm,8.0,6.0,10.0,0.16835661475014058,-0.1272727272727258,0.42071840311405884
boltz2,0.8,5,gap_recovered,ranking_score,4.0,1.0,6.0,0.3217094558657319,0.04796920005770072,0.5545100056933977
boltz2,0.8,5,gap_recovered,complex_plddt,2.0,1.0,6.0,0.4522696370494755,0.26588391529325467,0.6316674528301904
boltz2,0.8,5,gap_recovered,pdockq2,5.0,1.0,8.0,0.30177447303295474,0.04245021973232651,0.5021851272670046
boltz2,0.8,5,gap_recovered,ipsae,10.0,7.0,10.0,0.06917141615331807,-0.2092204456502395,0.33536895315810755
boltz2,0.8,5,gap_recovered,anticonf,6.0,3.0,7.0,0.253808694522303,-0.02346382966594464,0.4752608534112204
boltz2,0.8,5,gap_recovered,pss,3.0,1.0,9.0,0.42644062344569567,0.16476424952939897,0.6595076216376806
boltz2,0.8,5,gap_recovered,deeprank_ab,1.0,1.0,6.0,0.5082693652741129,0.3559899580179462,0.6506629227500194
boltz2,0.8,5,gap_recovered,abag_rank,9.0,4.0,10.0,0.15021256139471903,-0.07804545095873157,0.4048224200813815
boltz2,0.8,5,ranked_success,iptm,7.0,5.0,9.0,0.11427135403726708,0.07114829192546585,0.16180279503105588
boltz2,0.8,5,ranked_success,ptm,8.0,6.0,10.0,0.11384527950310559,0.07058928571428572,0.16152251552795027
boltz2,0.8,5,ranked_success,ranking_score,4.0,1.0,6.0,0.11767443167701865,0.07369565217391305,0.16627406832298136
boltz2,0.8,5,ranked_success,complex_plddt,2.0,1.0,6.0,0.12085922670807454,0.0760527950310559,0.17043478260869563
