target,gen,mean_tm,sd_tm,pss,oracle50_dockq,failing
9qqe,boltz2,0.8976271608163265,0.07787858552608627,0.603108,0.08479064316713841,True
9qqf,boltz2,0.696038706122449,0.11863430060523486,0.153043,0.032526460538022564,True
9qrv,boltz2,0.8661436081632653,0.10953150470818483,0.724448,0.7739295680915655,False
9rig,boltz2,0.6389303216326531,0.11313376265976907,0.13035,0.09763593618915739,True
9rih,boltz2,0.592376186122449,0.11214415047236581,0.134909,0.23508005386432893,False
9rn6,boltz2,0.7544622204081632,0.09293201250645544,0.258255,0.5858852153857103,False
9rye,boltz2,0.9282637665306123,0.053534946300891804,0.895376,0.8883327764712569,False
9ryf,boltz2,0.9282637665306123,0.053534946300891804,0.895376,0.8836688885079923,False
9sat,boltz2,0.8395561453061225,0.1031547556799467,0.345853,0.1412763880714251,True
9sbb,boltz2,0.7256127795918368,0.12198309039260732,0.144033,0.09421304073291363,True
9ssm,boltz2,0.8156657004081633,0.11431763828167389,0.318993,0.14042332768849602,True
9t3r,boltz2,0.7043971134693877,0.07714173205833125,0.082837,0.06401252193234001,True
9t3s,boltz2,0.8803090497959184,0.09238965121394858,0.416812,0.012502625064542257,True
9th6,boltz2,0.894366127346939,0.05149495334591603,0.382301,0.008745329372749244,True
9tmp,boltz2,0.994419813877551,0.003086084725854809,0.972156,0.9695011258268694,False
9u5p,boltz2,0.9959049657142859,0.0022515046032412023,0.97051,0.9080518940290908,False
9u5q,boltz2,0.9959998938775511,0.0018028946584740758,0.971877,0.9097631500530854,False
9u5r,boltz2,0.9963247591836735,0.0021633364786751686,0.971501,0.894347802521323,False
9ua5,boltz2,0.7144698685714286,0.1416696474260809,0.357303,0.009693142992970595,True
9udq,boltz2,0.9019556734693878,0.04543156543094722,0.24794,0.12751509483590934,True
9ue0,boltz2,0.8687442293877549,0.03234776364644327,0.112584,0.13826710348829346,True
9ugo,boltz2,0.8268873436734694,0.04652270758241209,0.057675,0.20887598842470037,True
9uk2,boltz2,0.5835683763265306,0.14205703328893463,0.117735,0.0337847179837386,True
9ull,boltz2,0.9933080383673468,0.006195302810487149,,0.6924721450216129,False
9ulm,boltz2,0.9684704587755101,0.04848827686417904,,0.6482771661750898,False
9ulp,boltz2,0.9342383404081632,0.07485776098556705,0.613104,0.2417959327185443,False
9uo0,boltz2,0.9291829771428571,0.0729482597820012,0.682749,0.7739721347276399,False
9uoc,boltz2,0.6675874889795919,0.09766752619815361,0.107205,0.09745618534739516,True
9uoi,boltz2,0.8401525502040816,0.1093150127111109,0.382116,0.11934799455234046,True
9v0x,boltz2,0.6562539820408164,0.14489241370788755,0.213389,0.0175290292679875,True
9v1h,boltz2,0.5331520628571428,0.11081110258483609,0.099286,0.6084730413606979,False
9ve0,boltz2,0.849358973877551,0.16543210482027934,0.435584,0.027697181132443943,True
9vmn,boltz2,0.5428343436734694,0.11059631336583017,0.08831,0.03667812068021494,True
