02:18:28  [tt-quietbox:tt1]   diffusion 177/200
02:18:28  [tt-quietbox:tt1]   diffusion 178/200
02:18:29  [tt-quietbox:tt1]   diffusion 179/200
02:18:29  [tt-quietbox:tt1]   diffusion 180/200
02:18:29  [tt-quietbox:tt1]   diffusion 181/200
02:18:30  [tt-quietbox:tt1]   diffusion 182/200
02:18:30  [tt-quietbox:tt1]   diffusion 183/200
02:18:31  [tt-quietbox:tt1]   diffusion 184/200
02:18:31  [tt-quietbox:tt1]   diffusion 185/200
02:18:31  [tt-quietbox:tt1]   diffusion 186/200
02:18:32  [tt-quietbox:tt1]   diffusion 187/200
02:18:32  [tt-quietbox:tt1]   diffusion 188/200
02:18:33  [tt-quietbox:tt1]   diffusion 189/200
02:18:33  [tt-quietbox:tt1]   diffusion 190/200
02:18:33  [tt-quietbox:tt1]   diffusion 191/200
02:18:34  [tt-quietbox:tt1]   diffusion 192/200
02:18:34  [tt-quietbox:tt1]   diffusion 193/200
02:18:35  [tt-quietbox:tt1]   diffusion 194/200
02:18:35  [tt-quietbox:tt1]   diffusion 195/200
02:18:35  [tt-quietbox:tt1]   diffusion 196/200
02:18:36  [tt-quietbox:tt1]   diffusion 197/200
02:18:36  [tt-quietbox:tt1]   diffusion 198/200
02:18:37  [tt-quietbox:tt1]   diffusion 199/200
02:18:37  [tt-quietbox:tt1]   confidence
02:19:00  [tt-quietbox:tt1]   saving
02:19:00  [tt-quietbox:tt1] ✓ 02_b78_tok658_bk672 — 192.4s
02:19:00  [tt-quietbox:tt1] 03_b140_tok720_bk736
02:19:00  [tt-quietbox:tt1]   prep
02:19:07  [tt-quietbox:tt1]   trunk 0/10
02:19:18  [tt-quietbox:tt1]   trunk 1/10
02:19:28  [tt-quietbox:tt1]   trunk 2/10
02:19:38  [tt-quietbox:tt1]   trunk 3/10
02:19:48  [tt-quietbox:tt1]   trunk 4/10
02:19:58  [tt-quietbox:tt1]   trunk 5/10
02:20:08  [tt-quietbox:tt1]   trunk 6/10
02:20:18  [tt-quietbox:tt1]   trunk 7/10
02:20:28  [tt-quietbox:tt1]   trunk 8/10
02:20:38  [tt-quietbox:tt1]   trunk 9/10
02:20:55  [tt-quietbox:tt1]   diffusion 0/200
02:20:57  [tt-quietbox:tt1]   diffusion 1/200
02:20:57  [tt-quietbox:tt1]   diffusion 2/200
02:20:58  [tt-quietbox:tt1]   diffusion 3/200
02:20:58  [tt-quietbox:tt1]   diffusion 4/200
02:20:59  [tt-quietbox:tt1]   diffusion 5/200
02:20:59  [tt-quietbox:tt1]   diffusion 6/200
02:21:00  [tt-quietbox:tt1]   diffusion 7/200
02:21:00  [tt-quietbox:tt1]   diffusion 8/200
02:21:01  [tt-quietbox:tt1]   diffusion 9/200
02:21:01  [tt-quietbox:tt1]   diffusion 10/200
02:21:02  [tt-quietbox:tt1]   diffusion 11/200
02:21:02  [tt-quietbox:tt1]   diffusion 12/200
02:21:03  [tt-quietbox:tt1]   diffusion 13/200
02:21:03  [tt-quietbox:tt1]   diffusion 14/200
02:21:04  [tt-quietbox:tt1]   diffusion 15/200
02:21:04  [tt-quietbox:tt1]   diffusion 16/200
02:21:05  [tt-quietbox:tt1]   diffusion 17/200
02:21:05  [tt-quietbox:tt1]   diffusion 18/200
02:21:06  [tt-quietbox:tt1]   diffusion 19/200
02:21:06  [tt-quietbox:tt1]   diffusion 20/200
02:21:07  [tt-quietbox:tt1]   diffusion 21/200
02:21:07  [tt-quietbox:tt1]   diffusion 22/200
02:21:08  [tt-quietbox:tt1]   diffusion 23/200
02:21:09  [tt-quietbox:tt1]   diffusion 24/200
02:21:09  [tt-quietbox:tt1]   diffusion 25/200
02:21:10  [tt-quietbox:tt1]   diffusion 26/200
02:21:10  [tt-quietbox:tt1]   diffusion 27/200
02:21:11  [tt-quietbox:tt1]   diffusion 28/200
02:21:11  [tt-quietbox:tt1]   diffusion 29/200
02:21:12  [tt-quietbox:tt1]   diffusion 30/200
02:21:12  [tt-quietbox:tt1]   diffusion 31/200
02:21:13  [tt-quietbox:tt1]   diffusion 32/200
02:21:13  [tt-quietbox:tt1]   diffusion 33/200
02:21:14  [tt-quietbox:tt1]   diffusion 34/200
02:21:14  [tt-quietbox:tt1]   diffusion 35/200
02:21:15  [tt-quietbox:tt1]   diffusion 36/200
02:21:15  [tt-quietbox:tt1]   diffusion 37/200
02:21:16  [tt-quietbox:tt1]   diffusion 38/200
02:21:16  [tt-quietbox:tt1]   diffusion 39/200
